assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,recoveries,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1995-09-15,3,146,True,True,,,4,0.57,4,154561,,,1,-1,2,-2,10.0,321,8,0,0.0,,,1,1,3.8,3.8,6,0.04,0.01,0.04,0.01,0.00,4.40,0.63,0.0,David,3.3,96,5,3,0.43,0,False,14.5,194,11,1,False,135.8,67,11,630,,,57,121,1,p154561,0,0,,0,,154561.jpg,4.9,42,5,61,0,200,False,15,2.14,Raya Martín,28.0,11,2,False,,7,1.0,a,0,1,3,2024-07-04,0.0,726,85,34,1626092,169517,716158,67000,0.6,6.0,Raya,1
0,1994-10-03,0,0,True,True,,,0,0,0,109745,,,0,0,-2,2,0.0,517,61,0,0,,,0,1,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Kepa,0.0,488,70,0,0,0,False,0.0,534,75,2,False,0.0,532,75,0,,,43,593,35,p109745,0,0,,0,,109745.jpg,0.0,536,75,0,0,200,False,0,0,Arrizabalaga Revuelta,0.5,236,32,False,,0,0,a,0,1,3,2025-07-01,0.0,485,50,0,6787,392,51400,3442,0.0,0.0,Arrizabalaga,0
0,2002-04-13,0,0,False,True,0,0,0,0,0,463748,,,0,0,0,0,0.0,476,43,0,0,,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,446,53,0,0,0,False,0.0,494,58,3,False,0.0,492,58,0,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,40,655,66,p463748,0,0,,0,,463748.jpg,0.0,497,58,0,0,67,False,0,0,Hein,0.3,299,43,False,,0,0,u,0,1,3,2020-10-28,0.0,443,32,0,5545,0,34530,2174,0.0,0.0,Hein,0
0,2006-03-13,0,0,True,True,,,0,0,0,551221,,,0,0,0,0,0.0,500,56,0,0,,,0,1,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Tommy,0.0,472,66,0,0,0,False,0.0,518,71,4,False,0.0,516,71,0,,,40,687,79,p551221,0,0,,0,,551221.jpg,0.0,521,71,0,0,241,False,0,0,Setford,0.2,349,53,False,,0,0,a,0,1,3,2024-07-24,0.0,468,45,0,14128,771,12411,1518,0.0,0.0,Setford,0
0,1997-12-19,5,169,True,True,100,75,4,0.57,56,226597,,,1,-1,3,-3,13.1,298,101,66,9.43,,,1,2,8.5,6.4,9,0.09,0.01,0.57,0.08,0.48,4.40,0.63,0.07,Gabriel,8.0,4,1,3,0.43,1,False,27.0,74,18,5,True,200.6,11,4,630,,2025-10-03T14:00:08.473762Z,63,71,1,p226597,0,0,,0,,226597.jpg,6.7,6,2,13,0,30,False,0,0.0,dos Santos Magalhães,30.7,10,3,False,,7,1.0,a,10,1,3,2020-09-01,56.0,111,18,47,2120324,370077,759029,62197,1.3,7.5,Gabriel,0
0,2001-03-24,1,109,True,True,100,100,3,0.66,32,462424,,,0,0,0,0,19.2,263,87,40,8.8,,,0,2,3.5,3.5,6,0.12,0.03,0.25,0.06,0.13,3.27,0.72,0.03,William,3.0,113,43,1,0.22,0,False,13.6,208,74,6,False,108.4,98,47,409,,2025-09-01T10:30:07.602868Z,60,86,4,p462424,0,0,,0,,462424.jpg,4.2,70,32,20,0,73,False,0,0.0,Saliba,12.6,30,12,False,,5,1.1,a,8,1,3,2019-07-25,8.0,302,102,25,649756,40921,1055619,43521,0.5,4.2,Saliba,0
2,2002-05-19,3,129,True,True,,,4,0.69,18,466075,,,0,0,2,-2,66.4,104,22,29,4.98,,,2,2,3.5,3.5,6,0.15,0.03,1.99,0.35,1.84,3.44,0.59,0.32,Riccardo,3.0,112,42,3,0.52,1,False,28.9,64,14,7,False,105.4,106,51,524,,,57,128,11,p466075,0,0,,0,,466075.jpg,6.0,15,8,24,0,106,False,0,0.0,Calafiori,14.7,22,9,False,,7,1.2,a,11,1,3,2024-07-29,118.0,39,3,42,1754583,67691,495061,63211,0.5,7.4,Calafiori,3
2,2001-06-17,7,178,True,True,,,3,0.52,20,445122,,,1,-1,4,-4,123.1,40,7,45,7.77,,,2,2,5.2,5.2,11,0.41,0.07,2.30,0.4,1.89,3.30,0.57,0.33,Jurriën,4.7,43,14,3,0.52,2,False,49.8,8,1,8,True,191.0,16,5,521,,,59,103,5,p445122,0,0,,0,,445122.jpg,6.9,5,1,18,0,152,False,0,0.0,Timber,19.1,18,8,False,,6,1.04,a,25,1,3,2023-07-14,183.0,9,1,48,2151331,421941,433598,34013,0.8,8.1,J.Timber,2
0,2000-02-15,0,0,False,True,0,0,0,0,0,440854,,,0,0,-1,1,0.0,717,244,0,0,,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Jakub,0.0,704,240,0,0,0,False,0.0,719,244,9,False,0.0,718,244,0,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,54,184,23,p440854,0,0,,0,,440854.jpg,0.0,719,244,0,0,172,False,0,0,Kiwior,0.1,555,202,False,,0,0,u,0,1,3,2023-01-23,0.0,713,242,0,1119,0,10075,276,0.0,0.0,Kiwior,0
0,2006-09-26,0,13,True,True,,,0,0.0,3,499169,,,-1,1,-3,3,6.9,331,112,4,4.34,,,0,2,1.2,1.2,1,0.00,0.0,0.00,0.0,0.00,0.93,1.01,0.0,Myles,0.7,305,104,0,0.0,0,False,1.7,389,138,10,False,7.6,380,141,83,,,52,228,32,p499169,0,0,,0,,499169.jpg,0.8,413,138,6,0,241,False,0,0.0,Lewis-Skelly,1.8,141,54,False,,0,0.0,a,1,1,3,2022-12-04,4.0,340,122,4,42605,2861,320713,15040,0.1,0.8,Lewis-Skelly,1
